status	ID	accession_number	site_ID	ocean	location	site	lat_long	date_collected	collection_ID	raw lat long	collector	permit
high quality	YPM-IZ-106941			NW Atlantic	Bermuda		32.323333, -64.656300	5/18/2019	Bermuda_63, P2	32 19.400 N, 64 39.378 W	Alex Damien-Serrano; Zachary Lewis; Reza Bergmann	Bermuda Department of Environment and Natural Resources; SP190501
high quality	YPM-IZ-106943			NW Atlantic	Bermuda		32.341117, -64.669133	5/18/2019	Bermuda_67, P8	32 20.467 N, 64 40.148 W	Alex Damien-Serrano; Zachary Lewis; Reza Bergmann	Bermuda Department of Environment and Natural Resources; SP190501
excluded	YPM-IZ-106944			NW Atlantic	Bermuda		32.297917, -64.686850	5/18/2019	Bermuda_68, P3	32 17.875 N, 64 41.211 W	Alex Damien-Serrano; Zachary Lewis; Reza Bergmann	Bermuda Department of Environment and Natural Resources; SP190501
high quality	YPM-IZ-106954			NW Atlantic	Bermuda		32.367233, -64.714550	5/20/2019	Bermuda_94, P13	32 22.034 N, 64 42.873 W	Alex Damien-Serrano; Zachary Lewis; Reza Bergmann	Bermuda Department of Environment and Natural Resources; SP190501
high quality	YPM-IZ-106958			Gulf of Mexico	Texas		29.195320, -94.842938	3/18/2017	TX2017_028	-94.8429383,29.19532	Catriona Munro	
high quality	YPM-IZ-110251			NW Atlantic	Florida	Key Biscanye, Virginia Key	25.737060, -80.152790	12/22/2022	22-VK-02	25.73706° N, 80.15279° W	L.M. Rojas	
high quality	YPM-IZ-110254			NW Atlantic	Florida	Key Biscanye, Virginia Key	25.736470, -80.153500	12/22/2022	22-VK-05	25.73647° N, 80.15350° W	L.M. Rojas	
high quality	YPM-IZ-110264	YPM.13356	IZS.34440	Central Pacific	Hawai'i	Kapa'a	22.069018, -159.316685	10/31/2022	SHC05	22.069018, -159.316685	Samuel Church	
moderate quality	YPM-IZ-110268	YPM.13356	IZS.34441	Central Pacific	Hawai'i	Kapa'a	22.069018, -159.316685	11/4/2022	SHC09	22.069018, -159.316685	Samuel Church	
high quality	YPM-IZ-110269	YPM.13356	IZS.34441	Central Pacific	Hawai'i	Kapa'a	22.069018, -159.316685	11/4/2022	SHC10	22.069018, -159.316685	Samuel Church	
high quality	YPM-IZ-110276	YPM.13356	IZS.34442	Central Pacific	Hawai'i	Waiehu	20.9225222, -156.4926917	11/19/2022	SHC17	20.9225222,-156.4926917	Samuel Church	
moderate quality	YPM-IZ-110277	YPM.13356	IZS.34442	Central Pacific	Hawai'i	Waiehu	20.9225222, -156.4926917	11/19/2022	SHC18	20.9225222,-156.4926917	Samuel Church	
high quality	YPM-IZ-110278	YPM.13356	IZS.34442	Central Pacific	Hawai'i	Waiehu	20.9225222, -156.4926917	11/19/2022	SHC19	20.9225222,-156.4926917	Samuel Church	
excluded	YPM-IZ-110432			NW Atlantic	Florida	Key Biscayne, Hobie Bch.	25.745160, -80.175990	3/14/2023	KBW-01	25.74516° N, 80.17599° W	L.M. Rojas	
high quality	YPM-IZ-110433			NW Atlantic	Florida	Key Biscayne, Hobie Bch.	25.741630, -80.175194	3/14/2023	KBW-02	25.74163° N, 80.175194° W	L.M. Rojas	
moderate quality	YPM-IZ-110438		IZS.34487	Gulf of Mexico	Texas	Follets Island beach	28.989194, -95.237778	3/24/2023	SHCTX001	28°59'21.1"N 95°14'16.0"W	Samuel Church	Texas NR Saltwater Fishing License, 958064721164
high quality	YPM-IZ-110443		IZS.34488	Gulf of Mexico	Texas	Surfisde Beach	28.951778, -95.283167	3/24/2023	SHCTX006	28°57'06.4"N 95°16'59.4"W	Samuel Church	Texas NR Saltwater Fishing License, 958064721164
high quality	YPM-IZ-110460		IZS.34491	Central Pacific	Hawai'i	Kailua Beach (fig tree entrance)	21.400790, -157.734500	11/14/2022	Kailua-1	21.4007-9, -157.7345	Chris Simon	
high quality	YPM-IZ-110467		IZS.34498	SW Pacific	New Zealand		-41.330278, 174.831944	2/16/2023	Breaker Bay-1	-41.330278, 174.831944	Chris Simon	
high quality	YPM-IZ-110468		IZS.34499	SW Pacific	New Zealand		-41.330000, 174.833056	2/16/2023	Breaker Bay-2	-41.33, 174.833056	Chris Simon	
high quality	YPM-IZ-110469		IZS.34499	SW Pacific	New Zealand		-41.330000, 174.833056	2/16/2023	Breaker Bay-3	-41.33, 174.833056	Chris Simon	
high quality	YPM-IZ-110470		IZS.34499	SW Pacific	New Zealand		-41.330000, 174.833056	2/16/2023	Breaker Bay-4	-41.33, 174.833056	Chris Simon	
high quality	YPM-IZ-110471			Central Pacific	Hawai'i	Kailua Beach (fig tree entrance)	21.400790, -157.734500	4/9/2023	Kailua-8	21.4007-9, -157.7345	Chris Simon	
high quality	YPM-IZ-110473		IZS.34500	Central Pacific	Hawai'i	Kailua Beach (fig tree entrance)	21.400790, -157.734500	4/9/2023	Kailua-10	21.4007-9, -157.7345	Chris Simon	
